node,degree,degree_rank,betweenness,betweenness_rank,eigenvector,eigenvector_rank,thanks,thanks_rank,papers,papers_rank
"Bayoumi, Tamim A.",2,2000,1.15447951907154E-08,2431,1.13767912717803E-09,3279,1,955,,
"Baytas, Ahmet",1,2845,,,,,,,1,315
"Beattie, Vivien A.",5,1104,,,,,,,1,315
"Beatty, Randolph P.",2,2000,0,2492,0.0009861875,1891,1,955,,
"Beaudry, Paul",1,2845,0,2492,1.5793670098131E-07,3247,1,955,,
"Beaver, William H.",9,731,0.0001329976,1162,0.0048258455,823,3,401,,
"Bebchuk, Lucian A.",14,468,0.000445846,937,0.0161963461,366,8,101,,
"Becchetti, Leonardo",8,807,0.0006938535,813,0.0002350647,2458,,,1,315
"Becht, Marco",4,1254,0,2492,0.0062118036,693,2,559,,
"Beck, Thorsten",3,1513,5.54150169154339E-07,1848,0.001360401,1640,1,955,1,315
"Becker, Connie",11,617,0.0006776995,820,0.0057884842,729,,,1,315
"Becsi, Zsolt",2,2000,3.84093503487928E-07,1913,8.51623515488465E-05,2712,1,955,,
"Beetsma, Roel M.W.J.",2,2000,,,,,,,1,315
"Beim, David O.",3,1513,1.51665893241211E-05,1421,0.001252369,1698,1,955,,
"Bekaert, Geert",32,127,0.0042593275,268,0.0306796651,186,10,65,3,26
"Belay, Halefom",1,2845,,,,,,,1,315
"Benartzi, Shlomo",17,364,0.0037774099,294,0.0298434802,192,2,559,1,315
"Bencivenga, Valerie R.",8,807,0.000827374,784,0.000989828,1889,1,955,1,315
"Bennedsen, Morten",5,1104,9.23583615257232E-08,2126,0.0061812126,699,,,1,315
"Bennett, Paul",4,1254,1.57471261841752E-05,1413,0.0001410929,2577,,,1,315
