node,x,y
"Bühler, Wolfgang J.",-189.75,129.54
"Bütler, Monika",181.72,146.05
CARL MOODY,-154.14,-165.36
CECILE BOYER,192.42,-91.285
CECILE SRODES,134.15,-169.15
CHARLESDE BARTOLOME,568.21,-405.75
CHRIS BRUCE,35.136,-196.74
CHRIS CORNWELL,116.05,-139.84
CHRIS GOOD,-295.38,-107.07
CHRIS HAYDEN,-136.18,-42.217
CHRISTIAN WULFF,211.36,-163.79
CHRISTINE P RIES,49.099,313.82
CHRISTOPHER VAZ,-274.4,-192.89
CLAUDIA DZIOBEK,156.05,24.964
CLAUS NIEMANN,-31.921,129.75
CONSTANTINE THANNASOULAS,-227.55,-372.53
CRAIG GUSTAFFSON,-132.81,145.01
CURTIS HUNTER,112.43,141.77
CYNTHIA ALEXANDER,15.234,105.21
"Caballero, Ricardo J.",-123.04,168.1
"Cadenillas, Abel",-320.39,58.688
"Cadsby, C. Bram",-124.8,-159.99
"Cagan, Phillip",470.6,-55.445
"Calem, Paul S.",38.793,93.04
"Callahan, Tyrone W.",-208.57,-89.206
"Calomiris, Charles W.",0.42475,3.6653
"Calveras, Aleix",122.54,210.56
"Calvo, Guillermo A.",344.96,40.273
"Camerer, Colin F.",55.538,-199.14
"Cameron, Trudy Ann",-108.99,-236.33
"Campbell, Cynthia J.",-41.935,-189.85
"Campbell, Jeffrey R.",285.14,151.21
"Campbell, John Y.",-62.55,12.731
"Canina, Linda",-149.02,-24.063
"Cannari, Luigi",220.06,109.83
"Canner, Glenn B.",139.68,91.673
"Canova, Fabio",230.03,104.57
"Cantillo, Miguel",8.3312,13.118
"Canton, Erik J.F.",-183.18,365.35
"Cantor, Richard",10.52,87.64
"Cao, Charles Q.",-72.325,-33.517
"Cao, H. Henry",-118.87,-23.778
"Cao, Melanie",-215.3,33.05
"Capeci, John",288.29,-59.981
"Caplan, Dennis H.",-64.259,-243.7
"Caporale, Tony",-117.25,242.44
"Capozza, Dennis R.",1.7761,133.76
"Caprio, Gerard Jr",27.255,50.908
"Caprio, Lorenzo",-253.63,51.483
"Carey, Mark",11.972,38.955
"Carhart, Mark M.",-175.8,-101.81
"Carkovic, Maria",-30.646,196.41
"Carleton, Willard T.",-4.3212,-106.76
"Carlson, John A.",947.42,-526.02
"Carlson, Murray",-165.3,-183.99
"Carmel, Jonathan",185.4,-73.552
"Carmona, René A.",-282.63,26.491
"Carpenter, Jennifer N.",-87.286,-25.613
"Carpenter, Robert E.",269.74,49.164
"Carpentieri, Andrea",92.619,170.99
"Carr, Jack L.",268.21,579.85
"Carr, Peter P.",-147.32,-9.1949
"Carrasco, Marine",170.73,-104.85
"Carter, David A.",218.27,39.309
"Carty, Lea V.",-71.808,135.56
"Casamatta, Catherine",8.8205,-121.81
"Casamatta, Georges",-157.15,-224.48
"Casares, Miguel",-61.752,290.62
"Cason, Timothy N.",-142.18,-170.78
"Cass, David",-198.74,105.48
"Cassiman, Bruno",-28.125,124.68
"Castellino, Onorato",157.34,3.1376
"Cavalluzzo, Ken S.",220.64,15.426
