node,x,y
"Bossaerts, Peter",-3.6802,102.28
"Bostic, Raphael W.",-56.548,-255.99
"Bottazzi, Laura",-65.649,-467.97
"Boubakri, Narjess",83.562,-166.54
"Bouckaert, Jan",-14.815,-199.18
"Boudoukh, Jacob",-51.146,101.53
"Boulatov, Alex",100.28,74.212
"Bourghelle, David",92.458,157.37
"Bouwman, Christa H.S.",23.525,-145.39
"Bovenberg, Arij Lans",21.997,-327.8
"Bover, Olympia",-9.8591,-288.37
"Bowers, Helen M.",182.97,-130.06
"Boyd, John H.",-44.861,-70.498
"Boyer, Carol Marie",200.9,5.7993
"Boyer, M. Martin",187.64,-250.03
"Boyle, Glenn W.",-18.058,-132.53
"Boyle, Phelim P.",65.732,187.3
"Brada, Josef C.",-378.38,-163.97
"Bradley, Daniel J.",134.41,-27.586
"Bradley, Michael D.",100.68,-16.46
"Brady, Brooks",-197.28,-216.34
"Braguinsky, Serguey",41.15,152.74
"Brailsford, Timothy J.",-118.73,-23.499
"Brandt, Loren",-113.8,-101.81
"Brandt, Michael W.",-36.702,28.414
"Brau, James C.",114.06,-100.5
"Braun, Matías",-100.26,-33.294
"Brav, Alon",32.858,17.209
"Brealey, Richard A.",-78.524,-6.0841
"Breeden, Douglas T.",-108.37,-82.156
"Breitung, Jörg",-47.536,-300.69
"Brennan, Michael J.",-17.709,42.583
"Brennan, Simon",-157.4,-144.51
"Brenner, Menachem",-116.02,13.18
"Bresnahan, Timothy F.",-106.03,165.12
"Breuer, Janice Boucher",68.818,232.38
"Breuer, Wolfgang",-189.94,241.83
"Breusch, Trevor S.",-238.57,318.18
"Brevoort, Kenneth P.",-56.624,-276.95
"Brewer, Elijah",-82.034,-165.26
"Brick, Ivan E.",136.0,229.85
"Brickley, James A.",71.186,-85.445
"Brigden, Andrew",-335.45,145.32
"Brigo, Damiano",-151.63,331.06
"Bris, Arturo",81.391,-41.942
"Brisley, Neil",364.51,-1.4693
"Britten-Jones, Mark",18.123,167.33
"Broadie, Mark N.",-32.703,183.27
"Brockman, Paul D.",239.69,62.244
"Brookman, Jeffrey T.",240.5,-460.53
"Brooks, Chris S.",-21.748,364.41
"Brooks, Robert D.",32.923,282.57
