node,positions
ARNOLD ZELLNER,"(986.16, 1246.8)"
ARNOLDO HAX,"(1164.2, 922.17)"
ARNOUD WA BOOT,"(965.61, 958.19)"
ART DENZAU,"(1144.5, 1227.6)"
ART GOLDSMITH,"(1048.3, 757.98)"
ARTHUR B KENNICKELL,"(906.72, 1156.8)"
ARTHUR HOGAN,"(966.32, 1273.0)"
ARTHUR STONEHILL,"(1803.4, 300.41)"
ARTHUR WARGA,"(1156.0, 1066.0)"
ARTUR RAVIV,"(1094.4, 1244.1)"
ARTURO BRIS,"(925.88, 1055.7)"
ARTURO ESTRELLA,"(977.76, 925.45)"
ARTURO RODRIGUEZ,"(1126.7, 991.06)"
ARTURO RUBALCAVA,"(796.17, 1250.1)"
ARTYOM DURNEV,"(960.66, 1012.0)"
ARTYOM SHNEYEROV,"(478.64, 1824.1)"
ARUN J PRAKASH,"(283.14, 1245.9)"
ARUNA SRINIVASAN,"(1066.8, 782.79)"
ARVIND KRISHNAMURTHY,"(886.06, 960.8)"
ARVIND MAHAJAN,"(1139.2, 967.83)"
ASANI SARKAR,"(1005.6, 1012.8)"
ASBJORN RODSETH,"(813.74, 895.57)"
ASGHAR SHAHMORADI,"(570.58, 907.83)"
ASHIQ ALI,"(1341.9, 1146.0)"
ASHISH TIWARI,"(1144.2, 1011.7)"
ASHLEY W WANG,"(1030.8, 1112.5)"
ASHLEY WP KUNG,"(526.73, 1744.0)"
ASHOKA MODY,"(913.93, 888.14)"
ASIM ANSARI,"(1139.1, 891.75)"
ASIM IJAZ KHWAJA,"(1011.9, 1002.5)"
ASIS MARTINEZ-JEREZ,"(1073.4, 1136.6)"
ASLI ARIKAN,"(864.9, 1048.3)"
ASLI DEMIRGUC-KUNT,"(957.96, 961.24)"
ASSAF RAZIN,"(758.72, 924.32)"
ASSEM SAFIEDDINE,"(886.49, 1019.3)"
ASTRID A DICK,"(946.48, 895.09)"
ATAKAN YALCIN,"(918.96, 1205.5)"
ATHANASIOS EPISCOPOS,"(1200.4, 1245.2)"
ATHANASIOS ORPHANIDES,"(1099.5, 885.97)"
ATIF R MIAN,"(959.36, 1018.2)"
ATINDRA BARUA,"(812.22, 1123.0)"
ATUL GUPTA,"(734.87, 943.52)"
AUDRA L BOONE,"(1021.7, 1185.6)"
AUGUSTIN LANDIER,"(1009.1, 1201.7)"
AUGUSTINE DURU,"(962.57, 1279.5)"
AUGUSTO DE LA TORRE,"(952.82, 809.67)"
AUREO DE PAULA,"(1000.3, 1197.8)"
AV SEKHAR,"(811.31, 859.21)"
AVANIDHAR SUBRAHMANYAM,"(1000.1, 1049.3)"
AVI BICK,"(1220.9, 1003.6)"
AVI WOHL,"(931.7, 1068.8)"
AVNER KALAY,"(990.56, 1119.4)"
AVNER WOLF,"(1785.1, 791.74)"
AVRAHAM BEJA,"(1128.6, 1220.3)"
AVRAHAM KAMARA,"(1113.0, 1036.6)"
AXEL ANDERSON,"(1260.8, 913.77)"
AXEL H KIND,"(1538.5, 1439.7)"
AYA CHACAR,"(1057.7, 1262.9)"
AYAKO YASUDA,"(935.07, 1028.6)"
AYDIN OZKAN,"(766.43, 1002.6)"
AYDOGAN ALTI,"(952.43, 1104.6)"
AYLA KAYHAN,"(817.06, 1244.4)"
AZIZ A LOOKMAN,"(1101.9, 1287.8)"
B CHAN,"(678.82, 1007.2)"
B DOUGLAS BERNHEIM,"(773.66, 1124.8)"
B ESPEN ECKBO,"(942.93, 1070.4)"
B HOUVARDAS,"(1246.7, 1324.3)"
BADI BALTAGI,"(918.6, 759.41)"
BALKRISHNA RADHAKRISHNA,"(851.8, 1195.0)"
BARAK HOFFMAN,"(882.27, 828.09)"
BARBARA CASU,"(966.49, 738.95)"
BARBARA DOBELI,"(1106.7, 924.85)"
BARBARA L REMMERS,"(1111.3, 1296.2)"
BARBARA MELLERS,"(883.24, 1176.7)"
BARBARA OSTDIEK,"(992.81, 1207.3)"
